# Evaluation of memory 
#
#{BufferSize	OSAllocated	UserGiven	UserUsed}
10	32.768000	5.760000	3.349000
20	53.248000	14.592000	8.338000
30	65.536000	26.688000	18.698000
40	86.016000	41.152000	26.581000
50	90.112000	27.328000	18.023000
60	106.496000	63.488000	44.968000
70	118.784000	68.256000	51.383000
80	135.168000	93.056000	61.795000
90	147.456000	89.152000	61.824000
100	151.552000	63.840000	45.251000
110	184.320000	97.984000	67.721000
120	188.416000	112.288000	73.588000
130	196.608000	111.552000	72.169000
140	200.704000	158.208000	108.818000
150	225.280000	144.000000	98.551000
160	233.472000	146.016000	102.765000
170	229.376000	157.440000	112.430000
180	253.952000	171.648000	116.466000
190	282.624000	186.976000	133.584000
200	282.624000	198.592000	137.056000
210	290.816000	204.096000	141.127000
220	311.296000	215.872000	154.923000
230	303.104000	236.544000	166.991000
240	307.200000	225.824000	155.516000
250	319.488000	226.304000	150.006000
260	327.680000	255.168000	173.357000
270	352.256000	247.744000	170.053000
280	360.448000	264.832000	182.137000
290	393.216000	277.216000	195.192000
300	368.640000	257.216000	171.435000
310	405.504000	237.472000	164.518000
320	405.504000	296.992000	210.646000
330	405.504000	306.656000	203.311000
340	421.888000	293.152000	204.095000
350	458.752000	343.296000	240.442000
360	450.560000	327.616000	225.073000
370	442.368000	336.544000	227.049000
380	462.848000	333.696000	228.946000
390	475.136000	393.056000	268.301000
400	495.616000	426.592000	294.534000
410	503.808000	322.528000	222.590000
420	528.384000	397.920000	273.533000
430	548.864000	373.728000	258.473000
440	520.192000	390.048000	274.197000
450	544.768000	388.768000	265.971000
460	544.768000	424.992000	295.663000
470	552.960000	439.424000	306.119000
480	581.632000	486.496000	334.453000
490	569.344000	515.072000	354.564000
500	602.112000	469.280000	329.764000
510	585.728000	513.440000	357.859000
520	610.304000	493.856000	334.792000
530	638.976000	552.928000	386.133000
540	626.688000	473.952000	320.539000
550	643.072000	485.088000	323.861000
560	655.360000	459.808000	322.287000
570	659.456000	537.696000	371.741000
580	667.648000	494.400000	334.875000
590	700.416000	585.824000	412.169000
600	692.224000	507.360000	347.475000
610	704.512000	560.672000	390.028000
620	745.472000	592.480000	403.084000
630	724.992000	598.240000	406.974000
640	733.184000	616.768000	436.456000
650	724.992000	590.368000	411.208000
660	757.760000	659.200000	459.474000
670	749.568000	540.224000	371.844000
680	770.048000	618.016000	429.734000
690	798.720000	646.592000	447.080000
700	786.432000	656.384000	447.532000
710	798.720000	705.984000	495.459000
720	806.912000	681.248000	475.922000
730	798.720000	673.024000	458.632000
740	827.392000	645.632000	453.397000
750	868.352000	685.152000	477.368000
760	843.776000	744.800000	508.072000
770	835.584000	699.200000	469.188000
780	856.064000	765.504000	536.268000
790	872.448000	722.976000	502.728000
800	897.024000	665.696000	460.390000
810	905.216000	788.128000	538.675000
820	950.272000	800.864000	551.479000
830	933.888000	763.488000	547.362000
840	946.176000	791.776000	549.089000
850	942.080000	801.920000	561.993000
860	942.080000	832.096000	567.603000
870	958.464000	747.712000	522.637000
880	974.848000	845.920000	577.174000
890	987.136000	898.080000	623.594000
900	970.752000	790.496000	539.060000
910	987.136000	836.576000	585.710000
920	999.424000	817.984000	566.829000
930	1019.904000	834.496000	561.425000
940	1032.192000	876.832000	600.360000
950	1036.288000	842.112000	588.559000
960	1019.904000	913.024000	620.367000
970	1069.056000	873.728000	611.154000
980	1069.056000	830.528000	567.984000
990	1093.632000	929.024000	630.942000
1000	1081.344000	970.752000	666.159000
# Benchmark done!
