# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Balloc	Time(ms)Bfree}
10	0.000137	0.000060
20	0.000098	0.000073
30	0.000119	0.000058
40	0.000092	0.000060
50	0.000127	0.000061
60	0.000123	0.000063
70	0.000119	0.000063
80	0.000119	0.000058
90	0.000124	0.000058
100	0.000120	0.000063
110	0.000191	0.000071
120	0.000190	0.000070
130	0.000239	0.000084
140	0.000195	0.000068
150	0.000199	0.000070
160	0.000189	0.000080
170	0.000190	0.000070
180	0.000200	0.000109
190	0.000203	0.000074
200	0.000254	0.000091
210	0.000210	0.000109
220	0.000184	0.000069
230	0.000204	0.000104
240	0.000336	0.000107
250	0.000353	0.000081
260	0.000338	0.000078
270	0.000327	0.000085
280	0.000363	0.000084
290	0.000344	0.000086
300	0.000380	0.000090
310	0.000340	0.000089
320	0.000376	0.000107
330	0.000346	0.000078
340	0.000357	0.000077
350	0.000333	0.000076
360	0.000326	0.000078
370	0.000328	0.000080
380	0.000331	0.000080
390	0.000313	0.000077
400	0.000330	0.000081
410	0.000342	0.000099
420	0.000339	0.000079
430	0.000341	0.000095
440	0.000318	0.000080
450	0.000322	0.000090
460	0.000319	0.000080
470	0.000316	0.000082
480	0.000318	0.000080
490	0.000622	0.000095
500	0.000651	0.000118
510	0.000632	0.000127
520	0.000660	0.000110
530	0.000688	0.000077
540	0.000645	0.000078
550	0.000683	0.000080
560	0.000621	0.000083
570	0.000604	0.000082
580	0.000627	0.000097
590	0.000620	0.000078
600	0.000627	0.000077
610	0.000674	0.000076
620	0.000593	0.000082
630	0.000576	0.000081
640	0.000579	0.000079
650	0.000581	0.000084
660	0.000594	0.000095
670	0.000619	0.000077
680	0.000600	0.000085
690	0.000587	0.000079
700	0.000624	0.000078
710	0.000658	0.000080
720	0.000572	0.000080
730	0.000642	0.000082
740	0.000624	0.000120
750	0.000625	0.000102
760	0.000575	0.000078
770	0.000658	0.000103
780	0.000579	0.000079
790	0.000619	0.000105
800	0.000606	0.000079
810	0.000576	0.000075
820	0.000578	0.000079
830	0.000592	0.000080
840	0.000764	0.000077
850	0.000577	0.000077
860	0.000599	0.000083
870	0.000625	0.000079
880	0.000624	0.000079
890	0.000657	0.000078
900	0.000576	0.000082
910	0.000619	0.000085
920	0.000581	0.000077
930	0.000648	0.000079
940	0.000576	0.000077
950	0.000570	0.000080
960	0.000582	0.000079
970	0.000640	0.000079
980	0.000595	0.000081
990	0.000582	0.000080
1000	0.000594	0.000078
1010	0.001114	0.000123
1020	0.001129	0.000076
1030	0.001117	0.000077
1040	0.001129	0.000075
1050	0.001181	0.000075
1060	0.001186	0.000082
1070	0.001178	0.000076
1080	0.001224	0.000078
1090	0.001188	0.000079
1100	0.001133	0.000079
1110	0.001096	0.000074
1120	0.001092	0.000073
1130	0.001125	0.000074
1140	0.001089	0.000072
1150	0.001087	0.000071
1160	0.001099	0.000075
1170	0.001136	0.000071
1180	0.001121	0.000076
1190	0.001143	0.000104
1200	0.001139	0.000082
1210	0.001091	0.000076
1220	0.001100	0.000075
1230	0.001121	0.000084
1240	0.001175	0.000070
1250	0.001136	0.000077
1260	0.001180	0.000077
1270	0.001128	0.000075
1280	0.001130	0.000113
1290	0.001187	0.000074
1300	0.001152	0.000088
1310	0.001095	0.000074
