# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Balloc	Time(ms)Bfree}
10	0.000063	0.000031
20	0.000041	0.000020
30	0.000064	0.000020
40	0.000027	0.000030
50	0.000089	0.000036
60	0.000069	0.000032
70	0.000034	0.000033
80	0.000076	0.000037
90	0.000087	0.000027
100	0.000034	0.000038
110	0.000088	0.000049
120	0.000042	0.000044
130	0.000091	0.000044
140	0.000071	0.000063
150	0.000049	0.000053
160	0.000061	0.000047
170	0.000060	0.000063
180	0.000058	0.000050
190	0.000076	0.000072
200	0.000074	0.000053
210	0.000088	0.000053
220	0.000082	0.000070
230	0.000076	0.000059
240	0.000080	0.000063
250	0.000090	0.000065
260	0.000114	0.000070
270	0.000100	0.000064
280	0.000091	0.000055
290	0.000107	0.000060
300	0.000109	0.000072
310	0.000105	0.000081
320	0.000147	0.000057
330	0.000114	0.000057
340	0.000126	0.000056
350	0.000162	0.000081
360	0.000166	0.000058
370	0.000127	0.000063
380	0.000176	0.000084
390	0.000167	0.000063
400	0.000137	0.000058
410	0.000172	0.000079
420	0.000207	0.000094
430	0.000208	0.000066
440	0.000147	0.000080
450	0.000161	0.000073
460	0.000159	0.000063
470	0.000154	0.000071
480	0.000165	0.000076
490	0.000169	0.000072
500	0.000162	0.000067
510	0.000174	0.000065
520	0.000185	0.000084
530	0.000180	0.000075
540	0.000182	0.000066
550	0.000177	0.000075
560	0.000179	0.000069
570	0.000193	0.000070
580	0.000187	0.000071
590	0.000200	0.000071
600	0.000198	0.000091
610	0.000256	0.000100
620	0.000226	0.000074
630	0.000262	0.000131
640	0.000242	0.000073
650	0.000218	0.000085
660	0.000231	0.000081
670	0.000221	0.000090
680	0.000249	0.000119
690	0.000235	0.000077
700	0.000277	0.000080
710	0.000267	0.000078
720	0.000249	0.000083
730	0.000266	0.000075
740	0.000242	0.000088
750	0.000258	0.000090
760	0.000259	0.000086
770	0.000282	0.000098
780	0.000277	0.000072
790	0.000301	0.000096
800	0.000303	0.000109
810	0.000328	0.000102
820	0.000298	0.000084
830	0.000332	0.000117
840	0.000302	0.000085
850	0.000335	0.000120
860	0.000303	0.000087
870	0.000371	0.000089
880	0.000305	0.000104
890	0.000359	0.000089
900	0.000303	0.000128
910	0.000329	0.000090
920	0.000309	0.000139
930	0.000323	0.000089
940	0.000384	0.000125
950	0.000333	0.000092
960	0.000325	0.000089
970	0.000327	0.000111
980	0.000390	0.000110
990	0.000326	0.000092
1000	0.000322	0.000097
1010	0.000353	0.000126
1020	0.000359	0.000090
1030	0.000346	0.000093
1040	0.000340	0.000107
1050	0.000410	0.000099
1060	0.000365	0.000114
1070	0.000441	0.000098
1080	0.000432	0.000106
1090	0.000378	0.000100
1100	0.000418	0.000098
1110	0.000424	0.000097
1120	0.000381	0.000140
1130	0.000386	0.000099
1140	0.000373	0.000096
1150	0.000375	0.000092
1160	0.000381	0.000093
1170	0.000396	0.000169
1180	0.000397	0.000100
1190	0.000439	0.000113
1200	0.000414	0.000109
1210	0.000417	0.000100
1220	0.000471	0.000129
1230	0.000417	0.000115
1240	0.000414	0.000113
1250	0.000442	0.000109
1260	0.000447	0.000132
1270	0.000461	0.000116
1280	0.000470	0.000106
1290	0.000494	0.000138
1300	0.000475	0.000122
1310	0.000462	0.000149
1320	0.000495	0.000108
1330	0.000457	0.000104
1340	0.000494	0.000136
1350	0.000462	0.000116
1360	0.000441	0.000115
1370	0.000487	0.000122
1380	0.000447	0.000115
1390	0.000461	0.000122
1400	0.000523	0.000123
1410	0.000472	0.000119
1420	0.000521	0.000145
1430	0.000487	0.000117
1440	0.000468	0.000121
1450	0.000534	0.000123
1460	0.000476	0.000117
1470	0.000526	0.000125
1480	0.000491	0.000122
1490	0.000495	0.000135
1500	0.000500	0.000124
1510	0.000514	0.000126
1520	0.000502	0.000127
1530	0.000519	0.000124
1540	0.000507	0.000126
1550	0.000507	0.000123
1560	0.000515	0.000127
1570	0.000521	0.000130
1580	0.000530	0.000136
1590	0.000541	0.000128
1600	0.000606	0.000125
1610	0.000525	0.000126
1620	0.000539	0.000131
1630	0.000530	0.000133
1640	0.000527	0.000148
1650	0.000603	0.000131
1660	0.000547	0.000128
1670	0.000672	0.000131
1680	0.000611	0.000127
1690	0.000554	0.000134
1700	0.000576	0.000148
1710	0.000606	0.000148
1720	0.000564	0.000163
1730	0.000626	0.000150
1740	0.000625	0.000141
1750	0.000608	0.000184
1760	0.000612	0.000156
1770	0.000606	0.000145
1780	0.000623	0.000143
1790	0.000605	0.000168
1800	0.000632	0.000182
1810	0.000636	0.000139
1820	0.000607	0.000143
1830	0.000670	0.000138
1840	0.000621	0.000175
1850	0.000653	0.000149
1860	0.000653	0.000141
1870	0.000629	0.000136
1880	0.000656	0.000157
1890	0.000678	0.000181
1900	0.000671	0.000177
1910	0.000675	0.000137
1920	0.000658	0.000155
1930	0.000702	0.000157
1940	0.000650	0.000143
1950	0.000641	0.000152
1960	0.000692	0.000139
1970	0.000647	0.000182
1980	0.000735	0.000192
1990	0.000738	0.000185
2000	0.000833	0.000156
2010	0.000660	0.000174
2020	0.000772	0.000212
2030	0.000743	0.000182
2040	0.000828	0.000160
2050	0.000761	0.000190
2060	0.000725	0.000209
2070	0.000719	0.000200
2080	0.000756	0.000188
2090	0.000739	0.000171
2100	0.000781	0.000161
2110	0.000729	0.000166
2120	0.000769	0.000187
2130	0.000725	0.000194
2140	0.000715	0.000169
2150	0.000713	0.000174
2160	0.000723	0.000175
2170	0.000760	0.000172
2180	0.000786	0.000184
2190	0.000880	0.000226
2200	0.000873	0.000210
2210	0.001065	0.000253
2220	0.000914	0.000193
2230	0.000857	0.000186
2240	0.000932	0.000196
2250	0.001011	0.000293
2260	0.001085	0.000190
2270	0.000892	0.000159
2280	0.000768	0.000194
2290	0.000816	0.000181
2300	0.000770	0.000175
2310	0.000773	0.000178
2320	0.000971	0.000205
2330	0.000950	0.000219
2340	0.000827	0.000173
2350	0.000819	0.000172
2360	0.000876	0.000225
2370	0.000936	0.000186
2380	0.000941	0.000193
2390	0.000895	0.000204
2400	0.000903	0.000171
2410	0.000836	0.000180
2420	0.000850	0.000187
2430	0.000828	0.000187
2440	0.000958	0.000226
2450	0.000848	0.000189
2460	0.000877	0.000179
2470	0.000895	0.000209
2480	0.001216	0.000260
2490	0.001066	0.000282
2500	0.001094	0.000217
2510	0.001019	0.000185
2520	0.000961	0.000215
2530	0.000879	0.000186
2540	0.000827	0.000183
2550	0.000880	0.000283
2560	0.000938	0.000189
2570	0.000823	0.000197
2580	0.000870	0.000185
2590	0.000980	0.000190
2600	0.000921	0.000196
2610	0.001113	0.000244
2620	0.001259	0.000341
2630	0.001081	0.000232
2640	0.001095	0.000220
2650	0.001220	0.000293
2660	0.001072	0.000271
2670	0.001123	0.000213
2680	0.001167	0.000267
2690	0.000901	0.000186
2700	0.001004	0.000235
2710	0.001158	0.000239
2720	0.000972	0.000181
2730	0.000965	0.000188
2740	0.000907	0.000187
2750	0.000955	0.000197
2760	0.000958	0.000214
2770	0.001003	0.000196
2780	0.000980	0.000190
2790	0.001018	0.000202
2800	0.000984	0.000196
2810	0.000924	0.000233
2820	0.001034	0.000203
2830	0.000960	0.000181
2840	0.001138	0.000268
2850	0.001293	0.000271
2860	0.001251	0.000241
2870	0.001286	0.000301
2880	0.001370	0.000275
2890	0.001471	0.000306
2900	0.001413	0.000282
2910	0.001403	0.000256
2920	0.001216	0.000198
2930	0.001191	0.000205
2940	0.001213	0.000263
2950	0.001289	0.000221
2960	0.001102	0.000242
2970	0.001027	0.000294
2980	0.001431	0.000335
2990	0.001250	0.000234
3000	0.001125	0.000260
3010	0.001191	0.000223
3020	0.001276	0.000204
3030	0.001092	0.000201
3040	0.001189	0.000203
3050	0.001015	0.000200
3060	0.001014	0.000205
3070	0.001168	0.000242
3080	0.001059	0.000210
3090	0.001045	0.000272
3100	0.001104	0.000229
3110	0.001227	0.000281
3120	0.001501	0.000264
3130	0.001370	0.000216
3140	0.001363	0.000276
3150	0.001102	0.000222
3160	0.001144	0.000233
3170	0.001288	0.000264
3180	0.001348	0.000225
3190	0.001048	0.000207
3200	0.001191	0.000207
3210	0.001197	0.000206
3220	0.001158	0.000235
3230	0.001355	0.000284
3240	0.001254	0.000278
3250	0.001120	0.000206
3260	0.001168	0.000345
3270	0.001378	0.000278
3280	0.001235	0.000244
3290	0.001251	0.000220
3300	0.001360	0.000248
3310	0.001213	0.000219
3320	0.001301	0.000251
3330	0.001412	0.000235
3340	0.001134	0.000223
3350	0.001241	0.000239
3360	0.001322	0.000265
3370	0.001178	0.000279
3380	0.001292	0.000246
3390	0.001218	0.000289
3400	0.001268	0.000238
3410	0.001355	0.000230
3420	0.001256	0.000259
3430	0.001326	0.000240
3440	0.001337	0.000322
3450	0.001306	0.000301
3460	0.001417	0.000276
3470	0.001428	0.000310
3480	0.001522	0.000309
3490	0.001368	0.000250
3500	0.001290	0.000239
3510	0.001152	0.000239
3520	0.001199	0.000228
3530	0.001432	0.000267
3540	0.001547	0.000232
3550	0.001559	0.000275
3560	0.001537	0.000280
3570	0.001542	0.000283
3580	0.001399	0.000325
3590	0.001399	0.000226
3600	0.001269	0.000266
3610	0.001406	0.000227
3620	0.001215	0.000226
3630	0.001507	0.000344
3640	0.001524	0.000333
3650	0.001579	0.000268
3660	0.001533	0.000230
3670	0.001319	0.000253
3680	0.001446	0.000334
3690	0.001557	0.000274
3700	0.001375	0.000238
3710	0.001454	0.000309
3720	0.001344	0.000225
3730	0.001411	0.000241
3740	0.001394	0.000265
3750	0.001402	0.000255
3760	0.001369	0.000235
3770	0.001550	0.000275
3780	0.001385	0.000315
3790	0.001412	0.000274
3800	0.001606	0.000323
3810	0.001419	0.000226
3820	0.001442	0.000235
3830	0.001487	0.000273
3840	0.001380	0.000291
3850	0.001446	0.000352
3860	0.001490	0.000274
3870	0.001466	0.000294
3880	0.001564	0.000283
3890	0.001533	0.000345
3900	0.001532	0.000324
3910	0.001567	0.000315
3920	0.001502	0.000266
3930	0.001481	0.000238
3940	0.001427	0.000326
3950	0.001843	0.000350
3960	0.001623	0.000368
3970	0.001576	0.000314
3980	0.001618	0.000249
3990	0.001445	0.000268
4000	0.001660	0.000311
# Benchmark done!
